date,USSW10.spot,DXY.spot,XAU.spot,XAG.spot,CL1.spot,TYA.spot,NGA.spot,C.spot,USSW10.rvol10D,DXY.rvol10D,XAU.rvol10D,XAG.rvol10D,CL1.rvol10D,TYA.rvol10D,NGA.rvol10D,C.rvol10D,USSW10.rvol30D,DXY.rvol30D,XAU.rvol30D,XAG.rvol30D,CL1.rvol30D,TYA.rvol30D,NGA.rvol30D,C.rvol30D,CL1.ivol,TYA.ivol,NGA.ivol,C.ivol,USSW10.volume,DXY.volume,XAU.volume,XAG.volume,CL1.volume,TYA.volume,NGA.volume,C.volume,VIX.spot,SPX.spot,SX5E.spot,DAX.spot,NKY.spot,VIX.volume,SPX.volume,SX5E.volume,DAX.volume,NKY.volume,VIX.ivol,SPX.ivol,SX5E.ivol,DAX.ivol,NKY.ivol,VIX.ivol90,SPX.ivol90,SX5E.ivol90,DAX.ivol90,NKY.ivol90,VIX.rvol10D,SPX.rvol10D,SX5E.rvol10D,DAX.rvol10D,NKY.rvol10D,VIX.rvol30D,SPX.rvol30D,SX5E.rvol30D,DAX.rvol30D,NKY.rvol30D,VIX.putcallvolumeratio,SPX.putcallvolumeratio,SX5E.putcallvolumeratio,DAX.putcallvolumeratio,NKY.putcallvolumeratio
1/3/2005,4.626,81.3,429.55,6.485,42.12,#N/A N/A,#N/A N/A,#N/A N/A,14.95,7.42,15,33.77,50.54,#N/A N/A,#N/A N/A,#N/A N/A,19.77,8.86,15.13,42.64,52.09,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,76532,#N/A N/A,#N/A N/A,#N/A N/A,14.08,1202.08,2970.02,4291.53,11488.76,#N/A N/A,1343537664,547209600,75848432,298455776,#N/A N/A,14.7781,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,15.4627,#N/A N/A,#N/A N/A,#N/A N/A,75.36,8.58,6.04,7.18,9.9,53.49,8.86,9.09,10.14,14.94,#N/A N/A,2.5506,1.172,1.2214,1.2272
1/4/2005,4.694,82.52,427.55,6.415,43.91,#N/A N/A,#N/A N/A,#N/A N/A,16.38,11.29,15.02,33.7,57.62,#N/A N/A,#N/A N/A,#N/A N/A,20.22,9.82,15,42.48,53.71,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,106800,#N/A N/A,#N/A N/A,#N/A N/A,13.98,1188.05,2971.12,4290.5,11517.75,#N/A N/A,1565299584,734391744,90132816,410426464,#N/A N/A,14.9066,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,15.7636,#N/A N/A,#N/A N/A,#N/A N/A,72.72,9.26,4.68,6.88,8.57,52.01,9.5,9.09,10.07,14.85,#N/A N/A,2.1629,0.8128,1.3565,1.2688
1/5/2005,4.6935,82.54,426.55,6.505,43.39,#N/A N/A,#N/A N/A,#N/A N/A,16.36,11.29,14.06,34.24,57.58,#N/A N/A,#N/A N/A,#N/A N/A,20.21,9.61,14.87,42.84,51.61,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,96739,#N/A N/A,#N/A N/A,#N/A N/A,14.09,1183.74,2947.19,4258.24,11437.52,#N/A N/A,1437634048,645682624,96055000,775274240,#N/A N/A,14.9577,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,15.9667,#N/A N/A,#N/A N/A,#N/A N/A,71.03,8.78,6.42,8.62,10.51,51.4,9.57,9.11,10.36,15.05,#N/A N/A,1.3774,1.5336,0.7859,1.3592
1/6/2005,4.678,83.15,421.4,6.425,45.56,#N/A N/A,#N/A N/A,#N/A N/A,16.57,10.38,14.32,2/3/1900,61.56,#N/A N/A,#N/A N/A,#N/A N/A,1/20/1900,9.83,15.15,42.53,53.93,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,127942,#N/A N/A,#N/A N/A,#N/A N/A,13.58,1187.88,2966.24,4300.94,11492.26,#N/A N/A,1341172480,303561984,89752184,870834944,#N/A N/A,14.5773,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,15.3927,#N/A N/A,#N/A N/A,#N/A N/A,74.94,9.24,7.34,9.5,10.51,52.81,9.55,9.25,10.68,13.39,#N/A N/A,1.2098,2.3264,1.7813,1.2907
1/7/2005,4.669,83.6,419.05,6.42,45.43,#N/A N/A,#N/A N/A,#N/A N/A,12.72,8.71,13.18,1/31/1900,61.6,#N/A N/A,#N/A N/A,#N/A N/A,1/19/1900,9.92,15.03,42.21,53.87,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,106179,#N/A N/A,#N/A N/A,#N/A N/A,13.49,1186.19,2979.82,4316.4,11433.24,#N/A N/A,1283372544,684195584,98291552,722860608,#N/A N/A,14.4355,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,15.2845,#N/A N/A,#N/A N/A,#N/A N/A,67.52,9.14,7.38,9.56,11.16,52.87,9.56,9.25,10.48,13.56,#N/A N/A,1.2533,1.9829,1.1393,1.8441
1/10/2005,4.676,83.35,419.63,6.435,45.33,#N/A N/A,#N/A N/A,#N/A N/A,12.79,9.28,13.6,1/31/1900,45.38,#N/A N/A,#N/A N/A,#N/A N/A,1/18/1900,9.97,15.03,42.27,53.72,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,112434,#N/A N/A,#N/A N/A,#N/A N/A,13.23,1190.24,2977.21,4307.37,11433.24,#N/A N/A,1221461504,502366272,88288792,722860608,#N/A N/A,14.1782,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,15.125,#N/A N/A,#N/A N/A,#N/A N/A,68.53,8.13,7.31,9.27,11.16,51.89,9.54,9.08,10.5,13.56,#N/A N/A,1.5703,1.3103,0.9435,1.8441
1/11/2005,4.641,83.07,421.65,6.61,45.68,#N/A N/A,#N/A N/A,#N/A N/A,12.56,9.98,13.16,2/3/1900,45.4,#N/A N/A,#N/A N/A,#N/A N/A,1/19/1900,9.98,14.82,41.09,53.74,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,95285,#N/A N/A,#N/A N/A,#N/A N/A,13.19,1182.99,2949.29,4258.01,11539.99,#N/A N/A,1323775488,760058880,125780744,877599360,#N/A N/A,14.241,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,15.293,#N/A N/A,#N/A N/A,#N/A N/A,64.24,8.28,9.17,11.26,9.81,51.88,9.65,8.88,11.15,13.74,#N/A N/A,1.5807,1.426,1.2168,0.9886
1/12/2005,4.635,82.17,426.15,6.69,46.37,#N/A N/A,#N/A N/A,#N/A N/A,10.63,12.03,14.89,2/4/1900,40.83,#N/A N/A,#N/A N/A,#N/A N/A,1/18/1900,10.46,15.03,41.31,53.92,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,122682,#N/A N/A,#N/A N/A,#N/A N/A,12.56,1187.7,2924.01,4208.82,11453.39,#N/A N/A,1438749696,716016896,131373160,850334400,#N/A N/A,13.9421,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,14.8286,#N/A N/A,#N/A N/A,#N/A N/A,59.31,8.96,10.25,12.81,10.99,53.58,8.62,9.18,11.63,13.83,#N/A N/A,1.855,1.9776,1.1556,2.8492
1/13/2005,4.556,82.51,425.2,6.73,48.04,#N/A N/A,#N/A N/A,#N/A N/A,13.43,12.04,14.7,2/4/1900,42.85,#N/A N/A,#N/A N/A,#N/A N/A,1/16/1900,9.84,14.13,40.94,49.74,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,113137,#N/A N/A,#N/A N/A,#N/A N/A,12.84,1177.45,2936.32,4212.14,11358.22,#N/A N/A,1358031488,689027392,115748800,694257984,#N/A N/A,14.0862,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,15.0522,#N/A N/A,#N/A N/A,#N/A N/A,50.95,9.53,10.63,12.74,11.62,54.03,8.99,9.12,10.82,13.7,#N/A N/A,1.8247,1.5897,1.0825,1.2053
1/14/2005,4.607,82.97,423.15,6.57,48.38,#N/A N/A,#N/A N/A,#N/A N/A,15.14,12.04,10.62,1/25/1900,34.77,#N/A N/A,#N/A N/A,#N/A N/A,1/16/1900,9.91,14.04,41.25,47.02,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,73815,#N/A N/A,#N/A N/A,#N/A N/A,12.43,1184.52,2948.22,4232.36,11438.39,#N/A N/A,1191153792,722099648,93131032,1113252224,#N/A N/A,13.8878,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,14.9817,#N/A N/A,#N/A N/A,#N/A N/A,36.56,10.15,10.19,12.01,12.12,54.88,9.19,9.15,10.7,13.55,#N/A N/A,2.8214,2.1422,0.8781,1.17
